"","OCCUPANCY_DATE","LOCATION_ADDRESS","LOCATION_POSTAL_CODE","LOCATION_CITY","LOCATION_PROVINCE","PROGRAM_MODEL","OVERNIGHT_SERVICE_TYPE","PROGRAM_AREA","CAPACITY_TYPE","SECTOR","SERVICE_USER_COUNT","CAPACITY_ACTUAL_BED","CAPACITY_FUNDING_BED","OCCUPIED_BEDS","CAPACITY_ACTUAL_ROOM","CAPACITY_FUNDING_ROOM","OCCUPIED_ROOMS","UNOCCUPIED_BEDS","UNAVAILABLE_BEDS","UNOCCUPIED_ROOMS","UNAVAILABLE_ROOMS","OCCUPANCY_RATE_BEDS","OCCUPANCY_RATE_ROOMS"
"4.55",2021-02-01,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",5,36,41,15,NA,NA,NA,21,5,NA,NA,0.416666666666667,NA
"3.297",2021-02-02,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",300,48,48,15,NA,NA,NA,33,0,NA,NA,0.3125,NA
"4.234",2021-02-03,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",18,38,38,17,NA,NA,NA,21,0,NA,NA,0.447368421052632,NA
"3.287",2021-02-04,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",84,47,47,31,NA,NA,NA,16,0,NA,NA,0.659574468085106,NA
"2.86",2021-02-05,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",230,NA,NA,NA,36,37,27,NA,NA,9,1,NA,0.75
"2.92",2021-02-06,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",90,NA,NA,NA,48,50,45,NA,NA,3,2,NA,0.9375
"5.289",2021-02-07,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",43,NA,NA,NA,48,48,38,NA,NA,10,0,NA,0.791666666666667
"3.26",2021-02-08,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",87,7,9,0,NA,NA,NA,7,2,NA,NA,0,NA
"4.205",2021-02-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",38,11,48,5,NA,NA,NA,6,37,NA,NA,0.454545454545455,NA
"3.42",2021-02-10,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",290,37,49,37,NA,NA,NA,0,12,NA,NA,1,NA
"4.219",2021-02-11,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",102,39,41,12,NA,NA,NA,27,2,NA,NA,0.307692307692308,NA
"5.184",2021-02-12,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",1,NA,NA,NA,38,50,35,NA,NA,3,12,NA,0.921052631578947
"4.290",2021-02-13,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",162,46,49,29,NA,NA,NA,17,3,NA,NA,0.630434782608696,NA
"4.160",2021-02-14,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",13,48,48,18,NA,NA,NA,30,0,NA,NA,0.375,NA
"3.148",2021-02-15,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",93,41,47,32,NA,NA,NA,9,6,NA,NA,0.780487804878049,NA
"5.22",2021-02-16,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",28,NA,NA,NA,48,50,33,NA,NA,15,2,NA,0.6875
"2.261",2021-02-17,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",43,NA,NA,NA,47,49,29,NA,NA,18,2,NA,0.617021276595745
"1.6",2021-02-18,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",3,NA,NA,NA,34,39,29,NA,NA,5,5,NA,0.852941176470588
"5.23",2021-02-19,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",13,NA,NA,NA,38,41,9,NA,NA,29,3,NA,0.236842105263158
"3.188",2021-02-20,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",41,35,45,25,NA,NA,NA,10,10,NA,NA,0.714285714285714,NA
"3.18",2021-02-21,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",266,49,49,48,NA,NA,NA,1,0,NA,NA,0.979591836734694,NA
"1.121",2021-02-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",13,NA,NA,NA,19,46,1,NA,NA,18,27,NA,0.0526315789473684
"3.100",2021-02-23,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",56,28,38,25,NA,NA,NA,3,10,NA,NA,0.892857142857143,NA
"5.83",2021-02-24,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",100,NA,NA,NA,46,48,44,NA,NA,2,2,NA,0.956521739130435
"4.87",2021-02-25,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",67,49,50,32,NA,NA,NA,17,1,NA,NA,0.653061224489796,NA
"4.151",2021-02-26,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",47,49,49,43,NA,NA,NA,6,0,NA,NA,0.877551020408163,NA
"2.147",2021-02-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",95,NA,NA,NA,20,25,16,NA,NA,4,5,NA,0.8
"2.145",2021-02-28,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",63,NA,NA,NA,36,44,23,NA,NA,13,8,NA,0.638888888888889
"5.177",2021-03-01,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",43,NA,NA,NA,20,50,6,NA,NA,14,30,NA,0.3
"5.33",2021-03-02,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",72,NA,NA,NA,38,48,0,NA,NA,38,10,NA,0
"2.51",2021-03-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",104,NA,NA,NA,43,43,38,NA,NA,5,0,NA,0.883720930232558
"5.37",2021-03-04,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",70,NA,NA,NA,24,25,11,NA,NA,13,1,NA,0.458333333333333
"4.128",2021-03-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",192,37,39,36,NA,NA,NA,1,2,NA,NA,0.972972972972973,NA
"1.181",2021-03-06,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",238,NA,NA,NA,29,39,27,NA,NA,2,10,NA,0.931034482758621
"4.86",2021-03-07,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",43,48,49,3,NA,NA,NA,45,1,NA,NA,0.0625,NA
"1.271",2021-03-08,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",69,NA,NA,NA,44,46,42,NA,NA,2,2,NA,0.954545454545455
"3.7",2021-03-09,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",27,40,45,19,NA,NA,NA,21,5,NA,NA,0.475,NA
"5.232",2021-03-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",173,NA,NA,NA,41,50,34,NA,NA,7,9,NA,0.829268292682927
"2.70",2021-03-11,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",156,NA,NA,NA,47,50,18,NA,NA,29,3,NA,0.382978723404255
"3.111",2021-03-12,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",15,38,43,22,NA,NA,NA,16,5,NA,NA,0.578947368421053,NA
"1.213",2021-03-13,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",90,NA,NA,NA,45,46,14,NA,NA,31,1,NA,0.311111111111111
"2.292",2021-03-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",17,NA,NA,NA,43,43,36,NA,NA,7,0,NA,0.837209302325581
"4.98",2021-03-15,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",268,26,39,1,NA,NA,NA,25,13,NA,NA,0.0384615384615385,NA
"2.53",2021-03-16,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",10,NA,NA,NA,48,50,28,NA,NA,20,2,NA,0.583333333333333
"1.242",2021-03-17,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",18,NA,NA,NA,48,49,44,NA,NA,4,1,NA,0.916666666666667
"1.238",2021-03-18,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",22,NA,NA,NA,44,48,25,NA,NA,19,4,NA,0.568181818181818
"5.233",2021-03-19,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",110,NA,NA,NA,29,42,23,NA,NA,6,13,NA,0.793103448275862
"3.71",2021-03-20,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",105,17,22,4,NA,NA,NA,13,5,NA,NA,0.235294117647059,NA
"2.156",2021-03-21,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",19,NA,NA,NA,48,48,45,NA,NA,3,0,NA,0.9375
"1.202",2021-03-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",48,NA,NA,NA,48,48,39,NA,NA,9,0,NA,0.8125
"4.34",2021-03-23,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",59,47,49,41,NA,NA,NA,6,2,NA,NA,0.872340425531915,NA
"3.52",2021-03-24,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",98,43,46,37,NA,NA,NA,6,3,NA,NA,0.86046511627907,NA
"1.56",2021-03-25,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",249,NA,NA,NA,29,33,9,NA,NA,20,4,NA,0.310344827586207
"4.178",2021-03-26,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",67,48,50,48,NA,NA,NA,0,2,NA,NA,1,NA
"1.133",2021-03-27,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",44,NA,NA,NA,36,40,3,NA,NA,33,4,NA,0.0833333333333333
"3.141",2021-03-28,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",54,45,48,20,NA,NA,NA,25,3,NA,NA,0.444444444444444,NA
"3.115",2021-03-29,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",13,48,48,47,NA,NA,NA,1,0,NA,NA,0.979166666666667,NA
"3.36",2021-03-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",46,40,47,35,NA,NA,NA,5,7,NA,NA,0.875,NA
"2.158",2021-03-31,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",81,NA,NA,NA,38,39,20,NA,NA,18,1,NA,0.526315789473684
"3.236",2021-04-01,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",61,14,28,14,NA,NA,NA,0,14,NA,NA,1,NA
"2.94",2021-04-02,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",45,NA,NA,NA,42,43,25,NA,NA,17,1,NA,0.595238095238095
"1.158",2021-04-03,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",96,NA,NA,NA,46,49,36,NA,NA,10,3,NA,0.782608695652174
"3.62",2021-04-04,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",46,45,46,17,NA,NA,NA,28,1,NA,NA,0.377777777777778,NA
"4.123",2021-04-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",52,17,28,12,NA,NA,NA,5,11,NA,NA,0.705882352941177,NA
"1.89",2021-04-06,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",124,NA,NA,NA,46,50,45,NA,NA,1,4,NA,0.978260869565217
"3.221",2021-04-07,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",53,46,48,45,NA,NA,NA,1,2,NA,NA,0.978260869565217,NA
"5.4",2021-04-08,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",27,NA,NA,NA,35,44,10,NA,NA,25,9,NA,0.285714285714286
"5.29",2021-04-09,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",56,NA,NA,NA,43,47,1,NA,NA,42,4,NA,0.0232558139534884
"5.14",2021-04-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",72,NA,NA,NA,48,50,5,NA,NA,43,2,NA,0.104166666666667
"4.197",2021-04-11,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",65,31,44,23,NA,NA,NA,8,13,NA,NA,0.741935483870968,NA
"3.16",2021-04-12,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",164,45,48,43,NA,NA,NA,2,3,NA,NA,0.955555555555556,NA
"1.110",2021-04-13,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",41,NA,NA,NA,47,49,24,NA,NA,23,2,NA,0.51063829787234
"4.180",2021-04-14,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",185,45,49,33,NA,NA,NA,12,4,NA,NA,0.733333333333333,NA
"3.291",2021-04-15,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",0,39,40,29,NA,NA,NA,10,1,NA,NA,0.743589743589744,NA
"1.258",2021-04-16,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",15,NA,NA,NA,48,49,44,NA,NA,4,1,NA,0.916666666666667
"5.13",2021-04-17,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",98,NA,NA,NA,48,48,40,NA,NA,8,0,NA,0.833333333333333
"2.68",2021-04-18,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",91,NA,NA,NA,45,45,14,NA,NA,31,0,NA,0.311111111111111
"5.264",2021-04-19,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",99,NA,NA,NA,39,50,5,NA,NA,34,11,NA,0.128205128205128
"4.199",2021-04-20,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",13,49,49,10,NA,NA,NA,39,0,NA,NA,0.204081632653061,NA
"4.220",2021-04-21,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",56,31,35,21,NA,NA,NA,10,4,NA,NA,0.67741935483871,NA
"5.98",2021-04-22,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",201,NA,NA,NA,26,33,17,NA,NA,9,7,NA,0.653846153846154
